official,code,name,P1,P2,P3,P4,P5,P6,prize
True,ALB1,Boriana Gjura,0,2,0,2,0,0,0
True,ALB2,Rega Kopliku,0,0,0,0,0,0,0
True,ALB3,Bora Starja,1,0,0,0,0,0,0
True,ALB4,Fjona Parllaku,0,0,0,0,0,0,0
True,BEL1,Pauline Bessemans,0,0,0,0,1,0,0
True,BEL2,Morine Delhelle,0,0,0,0,0,0,0
True,BEL3,France Gheeraert,0,1,0,2,2,0,0
True,BEL4,Manon Mackels,0,0,0,0,0,0,0
True,BGR1,Pavlena Nenova,7,2,0,5,3,2,3
True,BGR2,Denitsa Markova,3,0,0,7,7,2,3
True,BGR3,Velina Ivanova,7,7,0,7,0,3,4
True,BGR4,Violeta Naydenova,6,1,0,5,7,2,3
True,BLR1,Irina Burak,0,0,0,7,7,1,2
True,BLR2,Varvara Kuzmitskaya,4,0,0,0,4,3,2
True,BLR3,Alena Panotchyk,0,0,0,0,3,0,0
True,BLR4,Darya Rabtsava,4,7,0,0,7,0,3
True,FIN1,Minna Hirvonen,0,0,0,0,3,0,0
True,FIN2,Mirjam Kauppila,0,0,1,4,7,0,2
True,FIN3,Ella Tamir,0,0,0,1,3,0,0
True,FIN4,Tara Vaittinen,0,0,0,0,1,0,0
True,FRA1,Edwige Cyffers,1,0,0,1,3,0,0
True,FRA2,Clara Ding,0,1,0,1,3,0,0
True,FRA3,Cécile Gachet,3,1,0,7,3,1,2
True,FRA4,Lucie Wang,6,0,0,5,0,0,2
True,HUN1,Eszter Kabos,5,2,3,7,7,3,4
True,HUN2,Ágnes Kúsz,3,4,0,5,7,2,3
True,HUN3,Panna Fekete,2,2,0,3,7,1,2
True,HUN4,Szuzina Gyulai-Nagy,6,2,0,3,0,1,2
False,IDN1,Ambar Vanessa Sutandar,5,0,0,4,2,0,2
True,IRL1,Karen Briscoe,0,0,0,2,1,0,0
True,IRL2,Ioana Grigoras,0,0,0,0,0,0,0
True,IRL3,Anna Mustata,0,0,0,0,0,0,0
False,IRN1,Tina Behnia,3,2,0,2,3,0,2
False,IRN2,Ava Jahan Biglari,1,1,0,0,3,0,0
False,IRN3,Rozhin Nobahari,2,1,0,5,0,1,2
False,IRN4,Seyedeh Yasamin Tabatabaee,2,1,0,2,1,1,2
True,ITA1,Clara Antonucci,3,0,0,7,7,0,3
True,ITA2,Camilla Casamento Tumeo,0,7,0,0,3,1,2
True,ITA3,Federica Cecchetto,6,7,0,3,3,3,3
True,ITA4,Giulia Trevisan,3,1,0,7,3,5,3
False,JPN1,Chiaki Kasahara,5,0,0,7,3,1,3
False,JPN2,Eriko Kurimoto,5,2,0,7,1,1,3
False,JPN3,Maya Ogita,0,1,0,2,6,0,2
False,JPN4,Himena Okamoto,0,0,0,2,0,0,0
True,LUX1,Christina Meyer,3,0,0,6,1,0,2
True,LUX2,Tara Trauthwein,3,0,0,2,0,0,0
True,LVA1,Pārsla Esmeralda Sietiņa,0,0,0,0,0,1,0
True,LVA2,Rebeka Eva Konute,0,1,0,0,1,0,0
True,LVA3,Veronika Vasilevska,0,0,0,0,1,0,0
True,LVA4,Alise Ella Pretkalniņa,0,0,0,2,7,0,2
True,MDA1,Nicoleta Mahu,0,1,0,0,0,0,0
True,MDA2,Elvira Serțevoi,0,0,0,1,1,0,0
True,MDA3,Vladlena Horneț,0,1,0,1,0,0,0
True,MDA4,Cătălina Mămăligă,0,1,0,0,0,1,0
False,MEX1,Maria Cecilia Rojas Cuadra,0,2,0,4,2,0,2
False,MEX2,Olga Medrano Martin del Campo,2,1,0,3,2,0,2
False,MEX3,Nayeli Reyes Moreno,0,2,0,0,7,0,2
False,MEX4,Sandra Berenice Mendoza Penunuri,1,0,0,0,0,0,0
True,NLD1,Eva NLD1-2014,0,0,0,0,3,0,0
True,NLD2,Elise Sänger,0,0,0,1,2,0,0
True,NLD3,Michelle Sweering,7,1,2,7,7,1,4
True,NLD4,Hannah Teeuw,0,2,0,2,3,0,2
True,NOR1,Luca Éva Gazdag,2,0,0,0,0,0,0
True,NOR2,Audhild Høgåsen,0,0,0,0,1,0,0
True,NOR3,Kari Lovise Lodsby,0,0,0,4,7,0,2
True,NOR4,Tuva Sofie Tveiten,0,0,0,0,0,0,0
True,POL1,Katarzyna Budzik,1,4,0,0,0,1,0
True,POL2,Anna Hoduń,2,7,1,1,0,0,2
True,POL3,Anna Prochowska,1,0,0,3,6,1,2
True,POL4,Katarzyna Siennicka,0,0,2,5,3,0,2
True,ROU1,Simona Diaconu,7,7,1,3,3,5,4
True,ROU2,Andreea Măgălie,7,7,0,3,7,2,4
True,ROU3,Silvia-Elena Pripoae,6,0,0,1,7,4,3
True,ROU4,Maria-Romina Ivan,7,2,0,0,2,4,2
False,SAU1,Renad Abu AL Jamal,0,0,0,2,1,0,0
False,SAU2,Shaden Alshammari,0,2,0,0,0,0,0
False,SAU3,Ghufran Alkhamis,0,0,0,0,0,1,0
False,SAU4,Ruba Aldhaheri,1,0,0,0,0,0,0
True,SRB1,Andela Sarkovic,7,0,6,7,7,4,4
True,SRB2,Jelena Trisovic,2,2,0,3,1,0,2
True,SRB3,Marijana Vujadinovic,7,0,0,3,0,0,2
True,SRB4,Bogdana Jelic,6,7,0,5,3,0,3
True,SUI1,Annalena Hofer,0,0,0,0,2,0,0
True,SUI2,Barbara Roos,0,1,0,0,3,0,0
True,SUI3,Romina Som,0,0,0,1,3,1,0
True,SUI4,Stefanie Zbinden,2,2,0,6,6,1,3
True,SVN1,Nika Bedek,0,1,0,0,1,0,0
True,SVN2,Lara Jerman,0,1,0,0,7,0,2
True,SVN3,Tjaša Košenina,0,1,0,0,0,0,0
True,SVN4,Klara Nosan,0,1,0,0,1,0,0
True,TUR1,Elif Aydın,0,2,0,0,0,1,0
True,TUR2,Feyza Duman,3,2,0,5,7,1,3
True,TUR3,Melike Ayşegül Kara,4,2,2,0,1,2,2
True,TUR4,Başak Önder,0,2,0,1,3,0,0
False,TURB1,Zehra Erdem,2,0,0,0,3,2,2
False,TURB2,Çağıl Kalender,1,2,1,2,0,0,0
False,TURB3,Buşra Mirzamlı,3,2,0,0,0,0,0
False,TURB4,Feyza Yavuz,0,1,0,1,1,0,0
True,UKR1,Anastasiya Alokhina,7,7,0,7,0,5,4
True,UKR2,Sofiya Dubova,7,7,7,5,7,7,4
True,UKR3,Nataliia Khotiaintseva,7,1,1,5,7,4,4
True,UKR4,Anastasiya Kucherenko,6,1,0,3,1,0,2
True,UNK1,Olivia Aaronson,0,0,0,2,2,0,0
True,UNK2,Katya Richards,6,0,0,7,7,0,3
True,UNK3,Eloise Thuey,2,2,0,1,0,1,0
True,UNK4,Kasia Warburton,6,0,2,7,3,0,3
False,USA1,Danielle Wang,7,7,7,7,7,0,4
False,USA2,Alicia Weng,1,1,0,7,7,1,3
False,USA3,Victoria Xia,7,0,0,7,7,3,4
False,USA4,Rachel Zhang,7,1,0,7,7,0,3
