code,name,P1,P2,P3,P4,P5,P6,prize
ALB1,Ana Peçini,1,1,0,7,0,0,1
ALB2,Fjona Parllaku,1,2,0,2,1,0,0
ALB3,Laura Sheshi,0,1,0,0,0,0,0
ALB4,Liana Shpani,0,0,0,1,0,0,0
AZE1,Nazrin Farziyeva,1,0,0,1,1,0,0
AZE2,Rena Aliyeva,1,0,0,1,1,0,0
AZE3,Javahir Abbasova,2,0,0,0,1,0,0
AZE4,Sayalı Mammadova,0,0,0,0,0,0,0
BEL1,Pauline Bessemans,4,2,0,1,0,0,0
BEL2,Ambre De Herde,0,0,0,0,0,0,0
BEL3,Charlotte Léonard,0,0,0,2,0,0,0
BEL4,Mary-Lou Perrier D&#x27;Hauterive,0,1,0,1,1,0,0
BGR1,Denitsa Markova,1,2,2,7,7,7,3
BGR2,Violeta Naydenova,7,7,7,7,7,3,4
BGR3,Simona Kukova,0,7,1,7,1,0,2
BGR4,Mariya Delyakova,4,7,0,7,1,0,3
BIH1,Neira Kurtović,2,7,0,7,2,5,3
BIH2,Adisa Bolić,7,7,0,7,2,4,4
BIH3,Tijana Babić,2,2,0,7,7,0,3
BIH4,Milica Babić,2,2,2,1,6,0,2
BLR1,Lizaveta Manzhulina,7,3,1,7,3,0,3
BLR2,Katsiaryna Kunts,0,1,1,7,5,0,2
BLR3,Swetlana Shaban,1,2,2,7,0,0,2
BLR4,Arina Goloubitskaya,1,3,1,7,3,0,2
CYP1,Anna Economou,0,2,0,7,0,0,1
CYP2,Ariadni Assou,1,1,0,0,1,0,0
CYP3,Maria Olymbia Tsianni,1,2,0,1,0,0,0
CYP4,Evgenia Ilia,0,2,0,1,0,0,0
CZE1,Klára Karasová,1,1,0,1,1,0,0
CZE2,Lenka Kopfová,0,1,2,7,2,0,2
CZE3,Zuzana Procházková,3,1,0,0,1,0,0
CZE4,Hedvika Ranošová,1,2,0,0,1,0,0
ECU1,Angela Bastidas,1,2,1,0,0,0,0
ECU2,Valerie Bustos,0,2,0,1,0,0,0
ECU3,Ana Paula Indacochea,0,1,0,1,1,0,0
ECU4,Lissette Maingón,0,2,0,0,1,0,0
ESP1,Berta Garcia,0,2,2,7,6,0,3
ESP2,Victoria Arenas,0,0,0,0,0,0,0
ESP3,Lucía de Fang Ma Li,0,0,0,0,0,0,0
ESP4,Lucía Mallo,1,1,0,0,0,0,0
FIN1,Ella Anttila,7,1,3,0,3,0,2
FRA1,Linda Gutsche,7,2,1,3,4,0,3
FRA2,Eve Mattatia,0,3,0,0,2,0,0
FRA3,Julia Mosseri,0,1,0,0,1,0,0
FRA4,Lucie Wang,7,7,1,7,5,0,4
GEO1,Elene Karangozishvili,7,2,2,3,3,0,3
GEO2,Mariam Rogava,7,2,0,0,2,0,2
GEO3,Sophie Bregadze,7,1,1,1,1,4,2
GEO4,Gvantsa Tsutskhashvili,1,3,0,3,0,0,0
HUN1,Zsuzsanna Baran,7,7,7,7,7,1,4
HUN2,Miléna Vankó,4,3,3,2,2,1,2
HUN3,Hanna Gál,1,1,1,0,4,1,0
HUN4,Viktória Klász,7,2,2,0,2,0,2
IND1,Haimoshri Das,1,3,1,2,2,0,0
IND2,Uma T. V. Iyer,5,1,0,7,1,1,2
IRL1,Toni Aidong Huang,0,1,0,3,1,0,0
IRL2,Anna Mustata,4,7,0,7,2,0,3
IRL3,Ioana Grigoras,1,2,0,7,1,0,2
IRL4,Katie Louise O&#x27;Connor,0,1,1,1,0,0,0
ISR1,Shira Ben Dor,7,1,4,4,1,0,3
ISR2,Maya Naveh,7,0,2,7,7,0,3
ITA1,Linda Friso,3,2,0,1,2,0,0
ITA2,Maria Chiara Ricciuti,7,2,0,7,1,0,3
ITA3,Francesca Rizzo,1,3,0,7,1,0,2
ITA4,Federica Zanni,1,7,0,2,2,0,2
JPN1,Ami Isoda,2,2,1,5,1,0,2
JPN2,Maya Ogita,7,7,2,7,6,4,4
JPN3,Haruna Sueo,0,2,0,7,1,0,1
JPN4,Minori Wada,4,2,2,0,3,0,2
LTU1,Vaiva Augustinaitė,7,2,1,0,1,4,2
LTU2,Leticija Dubickaitė,0,3,0,0,1,0,0
LTU3,Aistė Grušnytė,0,3,0,1,0,0,0
LTU4,Adriana Otilija Vilkaitė,0,3,0,0,0,0,0
LUX1,Luana Capus,0,0,1,0,1,0,0
LUX2,Lea Menasce,0,0,0,1,0,0,0
LVA1,Noreta Nordena,0,1,0,0,1,0,0
LVA2,Gerda Grase,1,0,0,0,1,0,0
LVA3,Elīza Gaile,0,1,0,0,1,0,0
LVA4,Ieva Pakalna,0,0,0,0,0,0,0
MDA1,Sabina Tontici,0,2,0,3,0,0,0
MDA2,Otilia Don,0,4,0,7,7,0,3
